date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:06:40	48458/48458	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2011:06:26%20GMT	https://separateweb.com/niwax-demo/business-and-startup.html	D:/muneem/separateweb.com/niwax-demo/business-and-startup.html	(from )
01:06:41	87/87	---MCZ	200	added ('OK')	text/plain	etag:W/%2261f8d2f3-93%22	https://separateweb.com/robots.txt		(from )
01:06:41	491/491	---M--	200	added ('OK')	image/png	etag:%226200d845-1eb%22	https://separateweb.com/niwax-demo/images/favicon.png	D:/muneem/separateweb.com/niwax-demo/images/favicon.png	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:41	163726/163726	---MCZ	200	added ('OK')	text/css	etag:W/%226200d7e7-27f8e%22	https://separateweb.com/niwax-demo/css/bootstrap.min.css	D:/muneem/separateweb.com/niwax-demo/css/bootstrap.min.css	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:42	80962/80962	---MCZ	200	added ('OK')	text/css	etag:W/%226200d7ea-13c42%22	https://separateweb.com/niwax-demo/css/plugin.min.css	D:/muneem/separateweb.com/niwax-demo/css/plugin.min.css	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:42	56842/56842	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-de0a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	D:/muneem/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:42	137691/137691	---MCZ	200	added ('OK')	text/css	etag:W/%226200d7eb-21aaf%22	https://separateweb.com/niwax-demo/css/style.css	D:/muneem/separateweb.com/niwax-demo/css/style.css	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:42	17270/17270	---MCZ	200	added ('OK')	text/css	etag:W/%2262010e48-43a6%22	https://separateweb.com/niwax-demo/css/responsive.css	D:/muneem/separateweb.com/niwax-demo/css/responsive.css	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:43	17543/17543	---MCZ	200	added ('OK')	text/css	etag:W/%226200d7e8-44a1%22	https://separateweb.com/niwax-demo/css/darkmode.css	D:/muneem/separateweb.com/niwax-demo/css/darkmode.css	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:43	1676/1676	---M--	200	added ('OK')	image/png	etag:%226200d8f5-68c%22	https://separateweb.com/niwax-demo/images/logo.png	D:/muneem/separateweb.com/niwax-demo/images/logo.png	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:43	909/909	---M--	200	added ('OK')	image/png	etag:%226200d950-38d%22	https://separateweb.com/niwax-demo/images/white-logo.png	D:/muneem/separateweb.com/niwax-demo/images/white-logo.png	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:43	41710/41710	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2011:06:32%20GMT	https://separateweb.com/niwax-demo/index.html	D:/muneem/separateweb.com/niwax-demo/index-2.html	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:44	41710/41710	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2011:06:32%20GMT	https://separateweb.com/niwax-demo/	D:/muneem/separateweb.com/niwax-demo/index.html	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:44	93691/93691	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2011:06:23%20GMT	https://separateweb.com/niwax-demo/digital-agency.html	D:/muneem/separateweb.com/niwax-demo/digital-agency.html	(from https://separateweb.com/niwax-demo/business-and-startup.html)
01:06:44	86756/86756	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2011:06:22%20GMT	https://separateweb.com/niwax-demo/digital-agency-v2.html	D:/muneem/separateweb.com/niwax-demo/digital-agency-v2.html	(from https://separateweb.com/niwax-demo/business-and-startup.html)
